run_id,family,hypothesis,stage,config_path,results_dir,seed,train_seed,val_seed,test_seed,confirm_seed,baseline_compare,rerun_of,commit,status,reproduced,retired_reason,summary_json,verification_json,notes
hard_st_b_v2_control_sticky_aux_router2_main_seed770_rerun1,A_wait_controller,hard_st_benchmark_b_v2_control_sticky_aux_router2_main,anchor,configs/phase4/main/hard_st_benchmark_b_v2_control_sticky_aux_router2_main.yaml,results/phase5_anchor/hard_st_b_v2_control_sticky_aux_router2_main_seed770_rerun1,770,11,101,1001,11001,,hard_st_b_v2_control_sticky_aux_router2_main_seed770,d26a071216af59c61085fdcdd1227007724f35a4,completed,test+confirm,,results/phase5_anchor/hard_st_b_v2_control_sticky_aux_router2_main_seed770_rerun1/summary.json,results/phase5_anchor/hard_st_b_v2_control_sticky_aux_router2_main_seed770_rerun1/artifacts/phase5_verify/verification.json,test_acc=0.4501953125 route_match=0.259033203125 fq_acc=0.2575000028014183 fq_route_match=0.0 fq_exit=0.49550000366568564
hybrid_es_b_v2_control_sticky_aux_router2_resume_seed747_rerun1,E_es,hybrid_es_benchmark_b_v2_control_sticky_aux_router2_resume_seed747,anchor,configs/phase4/main/hybrid_es_benchmark_b_v2_control_sticky_aux_router2_resume_seed747.yaml,results/phase5_anchor/hybrid_es_b_v2_control_sticky_aux_router2_resume_seed747_rerun1,747,11,101,1001,11001,,hybrid_es_b_v2_control_sticky_aux_router2_resume_seed747,d26a071216af59c61085fdcdd1227007724f35a4,completed,test+confirm,,results/phase5_anchor/hybrid_es_b_v2_control_sticky_aux_router2_resume_seed747_rerun1/summary.json,results/phase5_anchor/hybrid_es_b_v2_control_sticky_aux_router2_resume_seed747_rerun1/artifacts/phase5_verify/verification.json,test_acc=1.0 route_match=1.0 fq_acc=0.9999999929070472 fq_route_match=0.9999999929070472 fq_exit=127.00000187683105
hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_seed947_p1,D_optimization,hard_st_benchmark_b_v2_control_router2_setclear_oraclecontrol_opt,pilot,configs/phase5/dev/hard_st_benchmark_b_v2_control_router2_setclear_oraclecontrol_opt.yaml,results/phase5_dev/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_seed947_p1,947,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,completed,,,results/phase5_dev/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_seed947_p1/summary.json,,test_acc=0.5022786259651184 route_match=0.3349609375 fq_acc=0.2466577554350709 fq_route_match=0.0 fq_exit=17.054813132566565
hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_p1,D_optimization,hard_st_benchmark_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit,pilot,configs/phase5/dev/hard_st_benchmark_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit.yaml,results/phase5_dev/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_p1,950,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,completed,test+confirm,,results/phase5_dev/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_p1/summary.json,results/phase5_dev/hard_st_b_v2_control_router2_setclear_oraclecontrol_opt_selectexit_seed950_p1/artifacts/phase5_verify/verification.json,test_acc=0.5556640625 route_match=0.4176432192325592 fq_acc=0.23796791768568085 fq_route_match=0.003342246072102876 fq_exit=41.17112323179602
hard_st_b_v2_control_router2_setclear_waitscope_opt_seed946_p1,D_optimization,hard_st_b_v2_control_router2_setclear_waitscope_opt_seed946_p1,pilot,,results/phase5_dev/hard_st_b_v2_control_router2_setclear_waitscope_opt_seed946_p1,946,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,interrupted,,,,,interrupted at step=388 split=train acc=0.59375 route_match=0.4765625 exit_time=25.46875
hard_st_b_v2_control_router2_sticky_oraclecontrol_opt_seed948_p1,D_optimization,hard_st_b_v2_control_router2_sticky_oraclecontrol_opt_seed948_p1,pilot,,results/phase5_dev/hard_st_b_v2_control_router2_sticky_oraclecontrol_opt_seed948_p1,948,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,interrupted,,,,,interrupted at step=404 split=train acc=0.609375 route_match=0.4140625 exit_time=23.8359375
hard_st_b_v2_control_waitact_seed901_p1,A_wait_controller,hard_st_benchmark_b_v2_control_waitact,pilot,configs/phase5/dev/hard_st_benchmark_b_v2_control_waitact.yaml,results/phase5_dev/hard_st_b_v2_control_waitact_seed901_p1,901,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,completed,,,results/phase5_dev/hard_st_b_v2_control_waitact_seed901_p1/summary.json,,test_acc=0.456787109375 route_match=0.18896484375 fq_acc=0.2575000021755695 fq_route_match=0.0 fq_exit=2.8690000330209733
hard_st_b_v2_control_waitact_setclear_oraclecontrol_seed945_p1,A_wait_controller,hard_st_benchmark_b_v2_control_waitact_setclear_oraclecontrol,pilot,configs/phase5/dev/hard_st_benchmark_b_v2_control_waitact_setclear_oraclecontrol.yaml,results/phase5_dev/hard_st_b_v2_control_waitact_setclear_oraclecontrol_seed945_p1,945,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,completed,,,results/phase5_dev/hard_st_b_v2_control_waitact_setclear_oraclecontrol_seed945_p1/summary.json,,test_acc=0.468505859375 route_match=0.19384765625 fq_acc=0.26400000481307506 fq_route_match=0.0 fq_exit=5.6095000557899475
hard_st_b_v2_control_waitact_setclear_waitscope_seed944_p1,A_wait_controller,hard_st_b_v2_control_waitact_setclear_waitscope_seed944_p1,pilot,,results/phase5_dev/hard_st_b_v2_control_waitact_setclear_waitscope_seed944_p1,944,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,interrupted,,,,,interrupted at step=629 split=train acc=0.4296875 route_match=0.15625 exit_time=9.0546875
hard_st_b_v2_recurrent_waitact_seed902_p1,A_wait_controller,hard_st_benchmark_b_v2_recurrent_waitact,pilot,configs/phase5/dev/hard_st_benchmark_b_v2_recurrent_waitact.yaml,results/phase5_dev/hard_st_b_v2_recurrent_waitact_seed902_p1,902,11,101,1001,11001,,,d26a071216af59c61085fdcdd1227007724f35a4,completed,,,results/phase5_dev/hard_st_b_v2_recurrent_waitact_seed902_p1/summary.json,,test_acc=0.467529296875 route_match=0.2392578125 fq_acc=0.27000000343471764 fq_route_match=0.0 fq_exit=5.38200009560585
